id,Elementary,Middle,High,Total,State,HousePrice,TotalClass
Alexandria City,14,4,1,19,3,551870.45,1
District of Columbia,204,118,41,363,2,436574.23,4
Falls Church City,2,1,1,4,3,614189.36,1
Anne Arundel County,81,19,13,113,1,409820.13,4
Frederick County,39,13,10,62,1,307464.38,3
Prince William County,64,19,12,95,3,399380.35,3
Prince George's County,121,24,24,169,1,259860.03,4
Howard County,42,20,12,74,1,499235.41,3
Montgomery County,135,40,25,200,1,525043.46,4
Arlington County,24,6,4,34,3,539588.9,2
Charles County,22,8,7,37,1,313738.42,2
Fairfax County,143,154,30,327,3,531493.4,4
Loudoun County,64,22,16,102,3,508615.73,4
Manassas City,7,3,1,11,3,283376.38,1
